Dataset,Label,Initial Set Description,Method,Budget,Seed,Initial Set Size,Initial Test R2,Labeled Set Size,Test R2
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,100,42,1292,0.5812976693528568,1392,0.5910450158027468
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,100,456,1292,0.5812976693528568,1392,0.5871960477434144
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,100,123,1292,0.5812976693528568,1392,0.5921386805015774
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,100,1,1292,0.5812976693528568,1392,0.5863056490968159
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,100,42,1292,0.5812976693528568,1392,0.5959411338943981
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,100,456,1292,0.5812976693528568,1392,0.5853249419268582
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,100,123,1292,0.5812976693528568,1392,0.5864114172501027
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,100,1,1292,0.5812976693528568,1392,0.5910241918165999
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,100,789,1292,0.5812976693528568,1392,0.5915840424350101
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,1000,456,1292,0.5812976693528568,2292,0.6310839087417652
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,1000,1,1292,0.5812976693528568,2292,0.6335538606618647
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,1000,42,1292,0.5812976693528568,2292,0.6124408365438556
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,1000,789,1292,0.5812976693528568,2292,0.620001364047776
USAVARS,POP,IDs_500_counties_4_points_seed_42,random,1000,123,1292,0.5812976693528568,2292,0.6242713935341102
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,1000,42,1292,0.5812976693528568,2292,0.6282856127103175
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,1000,1,1292,0.5812976693528568,2292,0.637076943616182
USAVARS,POP,IDs_500_counties_4_points_seed_42,typiclust,1000,123,1292,0.5812976693528568,2292,0.6400234399522338
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,inversetypiclust,100,789,1244,0.5983695355770775,1344,0.604091264537585
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,inversetypiclust,100,1,1244,0.5983695355770775,1344,0.6070383962654253
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,inversetypiclust,100,456,1244,0.5983695355770775,1344,0.6031900997594293
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,inversetypiclust,100,42,1244,0.5983695355770775,1344,0.6027071019006052
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,inversetypiclust,100,123,1244,0.5983695355770775,1344,0.6019219116606387
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,100,123,1244,0.5983695355770775,1344,0.6028462819064739
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,100,456,1244,0.5983695355770775,1344,0.6084143324728193
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,100,1,1244,0.5983695355770775,1344,0.6038105226435945
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,100,42,1244,0.5983695355770775,1344,0.604961097192961
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,100,789,1244,0.5983695355770775,1344,0.6076796694809588
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,100,456,1244,0.5983695355770775,1344,0.6090222651619082
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,100,42,1244,0.5983695355770775,1344,0.6078165781134194
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,100,1,1244,0.5983695355770775,1344,0.6031110342670369
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,100,789,1244,0.5983695355770775,1344,0.6091524682454271
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,100,123,1244,0.5983695355770775,1344,0.6046410526414298
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,1000,789,1244,0.5983695355770775,2244,0.6392118248760429
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,1000,1,1244,0.5983695355770775,2244,0.6383469262413535
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,1000,42,1244,0.5983695355770775,2244,0.6455586439257863
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,1000,123,1244,0.5983695355770775,2244,0.6458836103005728
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,random,1000,456,1244,0.5983695355770775,2244,0.6313535548647297
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,1000,42,1244,0.5983695355770775,2244,0.6385249316648256
USAVARS,POP,IDs_750_centers_5000m_radius_seed_42,typiclust,1000,1,1244,0.5983695355770775,2244,0.6447490266359412
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,456,2964,0.8886715317086515,3064,0.8900228939109994
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,789,2964,0.8886715317086515,3064,0.8894768384523684
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,42,2964,0.8886715317086515,3064,0.8895615865003025
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,1,2964,0.8886715317086515,3064,0.8893359080697373
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,123,2964,0.8886715317086515,3064,0.8890146334736743
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,100,42,2964,0.8886715317086515,3064,0.8895416161689674
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,100,456,2964,0.8886715317086515,3064,0.8885038286830761
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,100,1,2964,0.8886715317086515,3064,0.889009864330473
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,100,123,2964,0.8886715317086515,3064,0.8892350734766531
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,100,789,2964,0.8886715317086515,3064,0.8891795586245125
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,100,789,2964,0.8886715317086515,3064,0.8896541216858368
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,100,456,2964,0.8886715317086515,3064,0.8891276153170169
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,100,123,2964,0.8886715317086515,3064,0.8892118736999776
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,100,42,2964,0.8886715317086515,3064,0.8894427806732847
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,100,1,2964,0.8886715317086515,3064,0.8889961110033967
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,1000,456,2964,0.8886715317086515,3964,0.8948101248848617
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,1000,42,2964,0.8886715317086515,3964,0.8955876111067247
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,1000,789,2964,0.8886715317086515,3964,0.8951751336718204
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,1000,123,2964,0.8886715317086515,3964,0.8940612264434552
USAVARS,TC,IDs_1000_counties_3_points_seed_42,inversetypiclust,1000,1,2964,0.8886715317086515,3964,0.8947099588907628
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,1000,123,2964,0.8886715317086515,3964,0.8940329569695553
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,1000,456,2964,0.8886715317086515,3964,0.8923680188798186
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,1000,789,2964,0.8886715317086515,3964,0.8938888554081394
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,1000,1,2964,0.8886715317086515,3964,0.8936455810762917
USAVARS,TC,IDs_1000_counties_3_points_seed_42,random,1000,42,2964,0.8886715317086515,3964,0.8927318580413564
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,1000,123,2964,0.8886715317086515,3964,0.892967578359133
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,1000,1,2964,0.8886715317086515,3964,0.8922997610522808
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,1000,42,2964,0.8886715317086515,3964,0.8934577182016542
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,1000,456,2964,0.8886715317086515,3964,0.893307521111769
USAVARS,TC,IDs_1000_counties_3_points_seed_42,typiclust,1000,789,2964,0.8886715317086515,3964,0.8925148366729375
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,456,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,1,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,123,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,789,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,42,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,random,100,789,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,random,100,42,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,random,100,456,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,random,100,1,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,random,100,123,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,typiclust,100,123,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,typiclust,100,42,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,typiclust,100,1,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,typiclust,100,789,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,typiclust,100,456,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,1000,1,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,1000,789,,,,
USAVARS,TC,IDs_1000_counties_6_points_seed_42,inversetypiclust,1000,456,,,,
